n_layers,width,activation,window,n_test,epochs,best_val_mse,test_mse,test_r2,test_acc,test_f1,elapsed_s
1,32,relu,w1,2569,16,0.00060513,0.0006352,-0.015,0.515376,0.631983,3.8
1,32,relu,w2,2342,26,0.00062969,0.00193403,-0.002503,0.514091,0.629557,6.1
1,32,relu,w3,2499,18,0.00192849,0.00053816,-0.015577,0.494198,0.622912,4.3
1,32,gelu,w1,2569,24,0.0006104,0.00063813,-0.019679,0.509926,0.609128,5.6
1,32,gelu,w2,2342,29,0.00063167,0.00193157,-0.001227,0.512383,0.611565,7.0
1,32,gelu,w3,2499,21,0.00192747,0.00054821,-0.03455,0.494198,0.636364,4.8
1,32,leaky_relu,w1,2569,18,0.00061199,0.00063999,-0.022653,0.493188,0.414568,4.1
1,32,leaky_relu,w2,2342,38,0.00062868,0.00192554,0.001897,0.514091,0.645262,9.2
1,32,leaky_relu,w3,2499,29,0.001926,0.00054158,-0.022037,0.494998,0.605378,6.9
1,64,relu,w1,2569,23,0.00060095,0.00063728,-0.018317,0.494745,0.553338,5.2
1,64,relu,w2,2342,28,0.00062465,0.00191873,0.005427,0.520922,0.685008,6.6
1,64,relu,w3,2499,21,0.0019204,0.00053638,-0.01222,0.486595,0.365793,5.4
1,64,gelu,w1,2569,25,0.00061055,0.00063814,-0.019696,0.516543,0.615003,5.9
1,64,gelu,w2,2342,34,0.00063497,0.00192199,0.003738,0.516225,0.592885,8.0
1,64,gelu,w3,2499,36,0.00192664,0.00054801,-0.034173,0.505002,0.589446,8.3
1,64,leaky_relu,w1,2569,21,0.00060438,0.00063056,-0.007587,0.515765,0.619804,5.4
1,64,leaky_relu,w2,2342,25,0.00062668,0.0019217,0.003888,0.517933,0.656317,5.9
1,64,leaky_relu,w3,2499,45,0.00191432,0.00057852,-0.091757,0.484594,0.494902,10.5
1,128,relu,w1,2569,27,0.00060785,0.00063761,-0.018851,0.510315,0.628251,6.9
1,128,relu,w2,2342,19,0.00063527,0.0019356,-0.003315,0.516652,0.598582,4.4
1,128,relu,w3,2499,27,0.00192416,0.00054702,-0.0323,0.493397,0.571138,6.3
1,128,gelu,w1,2569,19,0.00061011,0.0006339,-0.012922,0.509926,0.607421,4.2
1,128,gelu,w2,2342,21,0.000638,0.00192958,-0.000192,0.496584,0.565105,5.1
1,128,gelu,w3,2499,31,0.00192581,0.00054931,-0.036627,0.504202,0.620521,7.5
1,128,leaky_relu,w1,2569,17,0.00060825,0.00063806,-0.01957,0.507201,0.572008,3.9
1,128,leaky_relu,w2,2342,17,0.00063714,0.00193628,-0.00367,0.51281,0.543052,4.0
1,128,leaky_relu,w3,2499,27,0.00192453,0.00055726,-0.051628,0.488996,0.582816,6.2
2,32,relu,w1,2569,21,0.0006003,0.00062576,9.5e-05,0.525886,0.689286,5.5
2,32,relu,w2,2342,16,0.00062564,0.00193314,-0.002041,0.517933,0.679716,4.0
2,32,relu,w3,2499,22,0.00192052,0.0005378,-0.014899,0.497399,0.664351,5.4
2,32,gelu,w1,2569,21,0.00060127,0.00062713,-0.002092,0.523161,0.641288,5.0
2,32,gelu,w2,2342,13,0.00062503,0.00193432,-0.002651,0.512383,0.613406,3.2
2,32,gelu,w3,2499,34,0.00191827,0.00054365,-0.025954,0.494998,0.588925,8.8
2,32,leaky_relu,w1,2569,18,0.00060025,0.00062595,-0.000214,0.525886,0.689286,4.3
2,32,leaky_relu,w2,2342,29,0.00062572,0.00192995,-0.000386,0.520922,0.685008,7.1
2,32,leaky_relu,w3,2499,24,0.00192849,0.0005323,-0.004531,0.496198,0.663279,5.9
2,64,relu,w1,2569,34,0.00060039,0.00062467,0.001838,0.524329,0.677232,8.5
2,64,relu,w2,2342,22,0.00062542,0.00193462,-0.002806,0.523911,0.685472,5.4
2,64,relu,w3,2499,16,0.001927,0.00053087,-0.001826,0.498199,0.661812,3.9
2,64,gelu,w1,2569,14,0.00060295,0.00063017,-0.006959,0.504087,0.570175,3.4
2,64,gelu,w2,2342,14,0.00062601,0.00193742,-0.004258,0.509821,0.600279,3.5
2,64,gelu,w3,2499,23,0.00192802,0.00053503,-0.009687,0.496198,0.659454,6.0
