month_end,pretrained,finetuned,spx_next_return
2017-01-31,-0.19823638,,
2017-02-28,-0.18952328,,-0.0003891971352694146
2017-03-31,-0.15851395,,0.009091208748854607
2017-04-30,-0.17128205,,0.011576251246328662
2017-05-31,-0.18190315,,0.004813775207812565
2017-06-30,-0.16852976,,0.019348826001101882
2017-07-31,-0.19005302,,0.000546433019853243
2017-08-31,-0.2263953,,0.019302978562167672
2017-09-30,-0.23725012,,0.02218813506615125
2017-10-31,-0.20565483,,0.028082627806563343
2017-11-30,-0.14330243,,0.009831630594270502
2017-12-31,-0.124740504,,0.05617870412552817
2018-01-31,-0.16076817,,-0.0389473718793677
2018-02-28,-0.216641,,-0.02688449860055664
2018-03-31,-0.2850737,,0.0027187749953683227
2018-04-30,-0.27081627,,0.0216083418545836
2018-05-31,-0.18892728,,0.00484243626760783
2018-06-30,-0.1732741,,0.03602155617289915
2018-07-31,-0.22968712,,0.030263211276748248
2018-08-31,-0.1899784,,0.0042942874264617625
2018-09-30,-0.24631642,,-0.0694033560936963
2018-10-31,-0.26415744,,0.01785935665477978
2018-11-30,-0.26071894,,-0.09177689467997252
2018-12-31,-0.23219982,,0.07868440166582613
2019-01-31,-0.32140175,,0.029728889343927145
2019-02-28,-0.24546263,,0.01792425624958849
2019-03-31,-0.25961873,,0.03931349831373798
2019-04-30,-0.29285514,,-0.0657777313668354
2019-05-31,-0.23785616,,0.0689301639982407
2019-06-30,-0.25083092,,0.013128152166957952
2019-07-31,-0.2638524,0.001002443,-0.018091627240523933
2019-08-31,-0.2887653,0.0009323997,0.017181177931020697
2019-09-30,-0.2685414,0.0010686138,0.020431770513684056
2019-10-31,-0.29743856,0.0010120745,0.034047037714499906
2019-11-30,-0.25123894,0.0009700435,0.02858981890573009
2019-12-31,-0.24152486,0.0009921303,-0.0016280928190489652
2020-01-31,-0.19236693,0.0030184765,-0.08411048363840312
2020-02-29,-0.31927004,0.0029299422,-0.12511928240892822
2020-03-31,-0.43969518,0.0029200604,0.1268440381652789
2020-04-30,-0.4511147,0.0032643096,0.04528181966555822
2020-05-31,-0.41947788,0.0031429818,0.01838839651392421
2020-06-30,-0.2888086,0.0027027389,0.055101321480443666
2020-07-31,-0.34940243,0.0020360278,0.07006466690171775
2020-08-31,-0.21716733,0.0020384514,-0.039227970178423055
2020-09-30,-0.20050469,0.0019679733,-0.027665786221379718
2020-10-31,-0.2620218,0.001969266,0.10754563544385909
2020-11-30,-0.14676113,0.0020465432,0.03712145909357001
2020-12-31,-0.18700314,0.0019907001,-0.011136660755445171
2021-01-31,,,0.026091451377448394
2021-02-28,,,0.042438632533165155
2021-03-31,,,0.05242532134755851
2021-04-30,,,0.00548648867060697
2021-05-31,,,0.022214009565834747
2021-06-30,,,0.02274805482838871
2021-07-31,,,0.028990416255438634
2021-08-31,,,-0.047569168801901096
2021-09-30,,,0.0691438364006065
2021-10-31,,,-0.008333706184746159
2021-11-30,,,0.04636084529641993
2021-12-31,,,
